origin_stop_id,reachable_stop_id,walking_time
at:47:50067:0,at:47:62072:0,0 days 00:04:52.557888
at:47:50067:0,at:47:62073:0,0 days 00:03:46.800748800
at:47:50068:0,at:47:50069:0,0 days 00:04:14.514582
at:47:50068:0,at:47:62068:0,0 days 00:02:39.729210
at:47:50068:0,at:47:64552:0,0 days 00:04:08.885982
at:47:50069:0,at:47:50068:0,0 days 00:04:14.514582
at:47:50069:0,at:47:50070:0,0 days 00:02:25.334530800
at:47:50069:0,at:47:50071:0,0 days 00:04:40.165370400
at:47:50069:0,at:47:62084:0,0 days 00:04:04.149354
at:47:50070:0,at:47:50069:0,0 days 00:02:25.334530800
at:47:50070:0,at:47:50071:0,0 days 00:03:15.937999200
at:47:50070:0,at:47:50072:0,0 days 00:04:30.947573999
at:47:50070:0,at:47:62084:0,0 days 00:01:46.069946400
at:47:50071:0,at:47:50069:0,0 days 00:04:40.165370400
at:47:50071:0,at:47:50070:0,0 days 00:03:15.937999200
at:47:50071:0,at:47:50072:0,0 days 00:01:21.986079600
at:47:50071:0,at:47:62082:0,0 days 00:04:19.509283200
at:47:50071:0,at:47:62083:0,0 days 00:02:44.787314400
at:47:50071:0,at:47:62084:0,0 days 00:02:17.985732
at:47:50072:0,at:47:50070:0,0 days 00:04:30.947573999
at:47:50072:0,at:47:50071:0,0 days 00:01:21.986079600
at:47:50072:0,at:47:62082:0,0 days 00:03:00.949064400
at:47:50072:0,at:47:62083:0,0 days 00:01:24.630506400
at:47:50072:0,at:47:62084:0,0 days 00:03:12.897720
at:47:50073:0,at:47:50074:0,0 days 00:04:13.714377599
at:47:50073:0,at:47:50076:0,0 days 00:03:39.169508400
at:47:50074:0,at:47:50073:0,0 days 00:04:13.714377599
at:47:50074:0,at:47:50075:0,0 days 00:02:19.352828400
at:47:50074:0,at:47:62326:0,0 days 00:03:02.181178800
at:47:50075:0,at:47:50074:0,0 days 00:02:19.352828400
at:47:50075:0,at:47:62326:0,0 days 00:02:07.756969200
at:47:50076:0,at:47:50052:0,0 days 00:04:44.978844
at:47:50076:0,at:47:50073:0,0 days 00:03:39.169508400
at:47:50077:0,at:47:50050:0,0 days 00:01:56.671345200
at:47:50078:0,at:47:50033:0,0 days 00:01:25.565883600
at:47:50078:0,at:47:64962:0,0 days 00:04:51.358951200
at:47:50079:0,at:47:50037:0,0 days 00:04:58.382616
at:47:50079:0,at:47:50038:0,0 days 00:03:16.226197200
at:47:61000:0,at:47:61998:0,0 days 00:02:44.252412
at:47:61000:0,at:47:66313:0,0 days 00:01:22.241557200
at:47:61000:0,at:47:66324:0,0 days 00:04:12.487504800
at:47:61000:0,at:47:68275:0,0 days 00:03:47.961262799
at:47:61000:0,at:47:68385:0,0 days 00:03:00.281289600
at:47:61003:0,at:47:61240:0,0 days 00:01:35.145404400
at:47:61003:0,at:47:61241:0,0 days 00:02:16.246608
at:47:61003:0,at:47:66315:0,0 days 00:02:46.901209200
at:47:61004:0,at:47:61239:0,0 days 00:04:14.846408400
at:47:61004:0,at:47:66127:0,0 days 00:02:27.017307600
at:47:61004:0,at:47:66325:0,0 days 00:04:06.329798400
at:47:61005:0,at:47:66319:0,0 days 00:01:01.133212800
at:47:61007:0,at:47:66204:0,0 days 00:03:38.175789600
at:47:61007:0,at:47:66226:0,0 days 00:04:12.690354
at:47:61008:0,at:47:66206:0,0 days 00:03:38.269263600
at:47:61011:0,at:47:61014:0,0 days 00:03:50.085212399
at:47:61011:0,at:47:61015:0,0 days 00:02:35.272590
at:47:61011:0,at:47:62506:0,0 days 00:04:19.430810400
at:47:61012:0,at:47:67036:0,0 days 00:04:40.197522
at:47:61013:0,at:47:61022:0,0 days 00:02:11.300604
at:47:61013:0,at:47:61023:0,0 days 00:02:19.051929600
at:47:61013:0,at:47:61025:0,0 days 00:02:41.534552400
at:47:61013:0,at:47:62508:0,0 days 00:04:29.452202400
at:47:61013:0,at:47:64891:0,0 days 00:04:11.700397200
at:47:61013:0,at:47:67043:0,0 days 00:03:48.065936400
at:47:61014:0,at:47:61011:0,0 days 00:03:50.085212399
at:47:61014:0,at:47:61015:0,0 days 00:02:49.400678400
at:47:61015:0,at:47:61011:0,0 days 00:02:35.272590
at:47:61015:0,at:47:61014:0,0 days 00:02:49.400678400
at:47:61015:0,at:47:62506:0,0 days 00:03:40.859737200
at:47:61016:0,at:47:61017:0,0 days 00:03:13.022611200
at:47:61016:0,at:47:61018:0,0 days 00:02:53.483737200
at:47:61016:0,at:47:64894:0,0 days 00:03:13.422704400
at:47:61017:0,at:47:61016:0,0 days 00:03:13.022611200
